town,candidate,votes
Granville,Trump,548.0
Lowell,Stein,547.0
Auburn,Johnson,545.0
Acton,Johnson,543.0
Scituate,Johnson,542.0
Stoughton,Johnson,539.0
Yarmouth,Johnson,536.0
Northfield,Trump,533.0
Sheffield,Trump,530.0
Amesbury,Johnson,524.0
Duxbury,Johnson,522.0
Northborough,Johnson,521.0
Stoneham,Johnson,521.0
Newburyport,Johnson,520.0
Wellfleet,Trump,515.0
Colrain,Clinton,513.0
Pittsfield,Stein,511.0
Clarksburg,Clinton,510.0
Sandwich,Johnson,508.0
Holyoke,Johnson,507.0
Bellingham,Johnson,502.0
Concord,Johnson,496.0
Fall River,Stein,493.0
Uxbridge,Johnson,491.0
Newton,Stein,491.0
Wareham,Johnson,489.0
Norton,Johnson,483.0
Russell,Trump,480.0
Williamstown,Trump,479.0
Westborough,Johnson,479.0
Tisbury,Trump,474.0
Lawrence,Johnson,474.0
Holland,Clinton,472.0
Chicopee,Stein,472.0
North Reading,Johnson,470.0
Sudbury,Johnson,466.0
Rockland,Johnson,462.0
Charlton,Johnson,461.0
Huntington,Clinton,460.0
Medway,Johnson,458.0
Ashland,Johnson,456.0
Westwood,Johnson,456.0
Whitman,Johnson,456.0
Pepperell,Johnson,454.0
Holliston,Johnson,453.0
Ipswich,Johnson,452.0
Arlington,Stein,447.0
Revere,Johnson,444.0
Amherst,Johnson,440.0
Bourne,Johnson,440.0
Oakham,Clinton,435.0
East Bridgewater,Johnson,432.0
Otis,Clinton,431.0
Worthington,Clinton,430.0
Medfield,Johnson,427.0
Lynn,Stein,426.0
Monterey,Clinton,417.0
Abington,Johnson,417.0
Petersham,Clinton,416.0
East Brookfield,Clinton,414.0
Saugus,Johnson,414.0
Plymouth,Stein,412.0
Ludlow,Johnson,409.0
Westhampton,Trump,408.0
Otis,Trump,407.0
Haverhill,Stein,407.0
Charlemont,Clinton,406.0
Longmeadow,Johnson,406.0
Webster,Johnson,406.0
Oxford,Johnson,405.0
Blandford,Trump,404.0
Bedford,Johnson,404.0
Hinsdale,Trump,403.0
Wendell,Clinton,402.0
East Longmeadow,Johnson,402.0
Sharon,Johnson,402.0
Groton,Johnson,399.0
Hanover,Johnson,398.0
Chesterfield,Clinton,397.0
Salem,Stein,396.0
Littleton,Johnson,393.0
Millbury,Johnson,392.0
Erving,Clinton,389.0
Clinton,Johnson,388.0
Norfolk,Johnson,388.0
Wilmington,Johnson,388.0
Sunderland,Trump,387.0
Belchertown,Johnson,387.0
Holyoke,Stein,386.0
Wrentham,Johnson,385.0
Bernardston,Trump,382.0
Lunenburg,Johnson,382.0
Kingston,Johnson,381.0
Brookline,Stein,381.0
South Hadley,Johnson,380.0
Weymouth,Stein,378.0
Brockton,Stein,375.0
Phillipston,Clinton,374.0
Southbridge,Johnson,374.0
Wayland,Johnson,374.0
Chester,Trump,372.0
Dennis,Johnson,372.0
Somerset,Johnson,371.0
Wilbraham,Johnson,369.0
Becket,Trump,367.0
Greenfield,Johnson,367.0
Easthampton,Johnson,366.0
Waltham,Stein,366.0
Wales,Clinton,365.0
Goshen,Clinton,364.0
Carver,Johnson,364.0
Tyngsborough,Johnson,363.0
Medford,Stein,362.0
Truro,Trump,361.0
Townsend,Johnson,361.0
Raynham,Johnson,355.0
Taunton,Stein,355.0
Mashpee,Johnson,347.0
Williamsburg,Trump,346.0
Barnstable,Stein,343.0
Framingham,Stein,341.0
Harwich,Johnson,340.0
Northampton,Johnson,340.0
Sterling,Johnson,339.0
New Salem,Clinton,337.0
Westfield,Stein,337.0
Granville,Clinton,335.0
Cummington,Clinton,334.0
Malden,Stein,334.0
Swampscott,Johnson,333.0
Weston,Johnson,331.0
West Tisbury,Trump,329.0
Hanson,Johnson,329.0
Randolph,Johnson,329.0
Beverly,Stein,329.0
Whately,Trump,328.0
Georgetown,Johnson,328.0
Clarksburg,Trump,327.0
Rutland,Johnson,327.0
Southborough,Johnson,327.0
New Braintree,Trump,326.0
Athol,Johnson,326.0
Upton,Johnson,326.0
Palmer,Johnson,322.0
Seekonk,Johnson,322.0
Royalston,Trump,321.0
Rehoboth,Johnson,321.0
Norwell,Johnson,320.0
Sturbridge,Johnson,320.0
Watertown,Stein,320.0
Attleboro,Stein,319.0
Leicester,Johnson,318.0
Winthrop,Johnson,318.0
Fairhaven,Johnson,317.0
Hamilton,Johnson,317.0
Lakeville,Johnson,315.0
Royalston,Clinton,313.0
Windsor,Clinton,313.0
Petersham,Trump,312.0
Millis,Johnson,309.0
Sutton,Johnson,309.0
Everett,Johnson,307.0
Leyden,Clinton,306.0
Westport,Johnson,306.0
Easthampton,Stein,305.0
Greenfield,Stein,305.0
Maynard,Johnson,303.0
Douglas,Johnson,299.0
Plainville,Johnson,299.0
Boxford,Johnson,297.0
Brewster,Johnson,296.0
Spencer,Johnson,296.0
Winchendon,Johnson,296.0
Ayer,Johnson,292.0
Dudley,Johnson,292.0
Erving,Trump,289.0
Stow,Johnson,286.0
Lynnfield,Johnson,285.0
Lancaster,Johnson,282.0
Swansea,Johnson,282.0
Montgomery,Trump,281.0
Russell,Clinton,278.0
Westminster,Johnson,276.0
Gloucester,Stein,272.0
Warwick,Clinton,271.0
Templeton,Johnson,270.0
Chesterfield,Trump,267.0
Southwick,Johnson,267.0
Dover,Johnson,265.0
Falmouth,Stein,264.0
Plainfield,Clinton,263.0
Peabody,Stein,262.0
Nantucket,Johnson,260.0
Gill,Trump,259.0
Leominster,Stein,259.0
Colrain,Trump,257.0
Billerica,Stein,257.0
Fitchburg,Stein,257.0
Blandford,Clinton,256.0
Peru,Clinton,255.0
Sandisfield,Clinton,254.0
Blackstone,Johnson,253.0
Hull,Johnson,253.0
Stockbridge,Trump,252.0
Conway,Trump,249.0
Holbrook,Johnson,248.0
Ashburnham,Johnson,247.0
New Braintree,Clinton,246.0
Heath,Clinton,244.0
Cohasset,Johnson,244.0
Lexington,Stein,244.0
Monson,Johnson,243.0
Ware,Johnson,243.0
North Adams,Johnson,241.0
Chester,Clinton,238.0
Revere,Stein,238.0
Belmont,Stein,237.0
Methuen,Stein,235.0
West Boylston,Johnson,232.0
Chelmsford,Stein,232.0
Aquinnah,Clinton,231.0
Dartmouth,Stein,231.0
Buckland,Trump,230.0
Shelburne,Trump,230.0
Bolton,Johnson,230.0
Worthington,Trump,229.0
Charlemont,Trump,227.0
Halifax,Johnson,227.0
Manchester,Johnson,227.0
West Bridgewater,Johnson,227.0
Alford,Clinton,226.0
Merrimac,Johnson,225.0
Rockport,Johnson,225.0
Marlborough,Stein,225.0
North Attleborough,Stein,223.0
Rowley,Johnson,221.0
New Marlborough,Trump,218.0
Richmond,Trump,218.0
Orange,Johnson,218.0
Lawrence,Stein,218.0
Natick,Stein,218.0
Washington,Clinton,217.0
Salisbury,Johnson,216.0
Chatham,Johnson,215.0
Newbury,Johnson,215.0
Mendon,Johnson,214.0
Braintree,Stein,214.0
Goshen,Trump,213.0
Montague,Johnson,213.0
Shirley,Johnson,213.0
Topsfield,Johnson,209.0
Woburn,Stein,209.0
New Salem,Trump,208.0
Provincetown,Trump,208.0
Agawam,Stein,208.0
West Springfield,Stein,208.0
Peru,Trump,207.0
Acton,Stein,207.0
Hubbardston,Johnson,203.0
Tyringham,Clinton,201.0
Chelsea,Johnson,201.0
Montgomery,Clinton,199.0
Hopedale,Johnson,197.0
Andover,Stein,195.0
Sherborn,Johnson,194.0
Shrewsbury,Stein,194.0
Southampton,Johnson,193.0
Carlisle,Johnson,192.0
Middleton,Johnson,192.0
Wenham,Johnson,192.0
Florida,Clinton,190.0
Sandisfield,Trump,190.0
Tolland,Trump,190.0
Groveland,Johnson,190.0
Orleans,Johnson,190.0
Belchertown,Stein,190.0
Hancock,Clinton,189.0
Adams,Johnson,189.0
Yarmouth,Stein,189.0
West Newbury,Johnson,188.0
Dracut,Stein,187.0
Leverett,Trump,185.0
Savoy,Clinton,184.0
Ashfield,Trump,184.0
Norwood,Stein,184.0
Tewksbury,Stein,183.0
Montague,Stein,181.0
Harvard,Johnson,179.0
Marshfield,Stein,179.0
South Hadley,Stein,179.0
West Stockbridge,Trump,178.0
Freetown,Johnson,177.0
Boylston,Johnson,176.0
Lincoln,Johnson,175.0
Danvers,Stein,175.0
Dighton,Johnson,172.0
North Adams,Stein,172.0
Acushnet,Johnson,171.0
Florida,Trump,170.0
Granby,Johnson,170.0
Wareham,Stein,170.0
Franklin,Stein,169.0
Bridgewater,Stein,167.0
Melrose,Stein,167.0
Dalton,Johnson,166.0
Heath,Trump,165.0
Essex,Johnson,165.0
Barre,Johnson,164.0
Everett,Stein,164.0
Savoy,Trump,163.0
Mattapoisett,Johnson,162.0
Middleborough,Stein,162.0
Rochester,Johnson,161.0
Stoughton,Stein,161.0
Westford,Stein,161.0
Wakefield,Stein,160.0
Hancock,Trump,159.0
Windsor,Trump,159.0
Boxborough,Johnson,159.0
Deerfield,Johnson,159.0
North Brookfield,Johnson,159.0
Milford,Stein,159.0
Cummington,Trump,156.0
Randolph,Stein,156.0
Middlefield,Clinton,155.0
Gardner,Stein,155.0
Hampden,Johnson,154.0
Marion,Johnson,151.0
Needham,Stein,150.0
Paxton,Johnson,149.0
Amesbury,Stein,149.0
Holden,Stein,149.0
Dedham,Stein,148.0
Milton,Stein,148.0
Palmer,Stein,148.0
Egremont,Trump,147.0
Concord,Stein,146.0
Scituate,Stein,146.0
Berkley,Johnson,145.0
Ludlow,Stein,145.0
Saugus,Stein,144.0
Shutesbury,Trump,142.0
Warwick,Trump,142.0
Warren,Johnson,142.0
Mansfield,Stein,142.0
Newburyport,Stein,141.0
Dunstable,Johnson,140.0
Hingham,Stein,140.0
Reading,Stein,140.0
Leyden,Trump,139.0
Sandwich,Stein,139.0
Dennis,Stein,138.0
Ipswich,Stein,137.0
Eastham,Johnson,134.0
Fairhaven,Stein,133.0
Westborough,Stein,133.0
Grafton,Stein,130.0
Winthrop,Stein,130.0
Harwich,Stein,129.0
Ashby,Johnson,128.0
Easton,Stein,128.0
Longmeadow,Stein,128.0
Great Barrington,Stein,127.0
Somerset,Stein,127.0
Chelsea,Stein,126.0
Walpole,Stein,126.0
Berlin,Johnson,124.0
Princeton,Johnson,124.0
Winchester,Stein,124.0
Rowe,Clinton,122.0
Bourne,Stein,122.0
Burlington,Stein,122.0
Pembroke,Stein,122.0
Sharon,Stein,122.0
Mashpee,Stein,119.0
North Andover,Stein,118.0
Brimfield,Johnson,117.0
Lenox,Johnson,116.0
Athol,Stein,116.0
Hudson,Stein,116.0
Marblehead,Stein,116.0
Middlefield,Trump,115.0
East Longmeadow,Stein,115.0
Lee,Johnson,114.0
Plympton,Johnson,114.0
Rockland,Stein,114.0
Wellesley,Stein,114.0
Norton,Stein,112.0
Brewster,Stein,111.0
West Brookfield,Johnson,110.0
Southbridge,Stein,110.0
Stoneham,Stein,110.0
Rehoboth,Stein,109.0
Duxbury,Stein,108.0
Monson,Stein,108.0
Nantucket,Stein,108.0
Plainfield,Trump,107.0
Seekonk,Stein,106.0
Hawley,Clinton,105.0
Holland,Johnson,105.0
Wendell,Trump,104.0
Ashland,Stein,104.0
Wilbraham,Stein,104.0
Great Barrington,Johnson,103.0
Hadley,Johnson,103.0
Millville,Johnson,103.0
Northborough,Stein,103.0
Webster,Stein,103.0
Brookfield,Johnson,102.0
Abington,Stein,102.0
Northbridge,Stein,102.0
New Ashford,Clinton,101.0
Tolland,Clinton,101.0
Canton,Stein,101.0
Swansea,Stein,101.0
Bellingham,Stein,100.0
Hopkinton,Stein,100.0
Rowe,Trump,99.0
Edgartown,Johnson,99.0
Charlton,Stein,99.0
Clinton,Stein,99.0
Pelham,Trump,98.0
Wayland,Stein,98.0
Westport,Stein,97.0
Whitman,Stein,97.0
Hadley,Stein,96.0
Sturbridge,Stein,96.0
Swampscott,Stein,96.0
Foxborough,Stein,95.0
Groton,Stein,95.0
Chilmark,Trump,94.0
Bedford,Stein,92.0
Granby,Stein,92.0
Uxbridge,Stein,92.0
Northfield,Johnson,91.0
Westwood,Stein,91.0
Auburn,Stein,90.0
Holbrook,Stein,90.0
Holliston,Stein,90.0
Winchendon,Stein,90.0
Washington,Trump,89.0
Monterey,Trump,88.0
Oak Bluffs,Johnson,87.0
North Reading,Stein,87.0
Nahant,Johnson,86.0
East Bridgewater,Stein,86.0
Lakeville,Stein,86.0
Acushnet,Stein,85.0
Lee,Stein,85.0
Williamstown,Johnson,84.0
Kingston,Stein,84.0
Pepperell,Stein,84.0
Cheshire,Johnson,83.0
Dalton,Stein,83.0
Millbury,Stein,83.0
Shutesbury,Stein,83.0
Spencer,Stein,83.0
Tisbury,Stein,83.0
Sunderland,Johnson,82.0
Oxford,Stein,82.0
Sudbury,Stein,82.0
Bernardston,Johnson,81.0
Sheffield,Johnson,80.0
Adams,Stein,80.0
Avon,Johnson,79.0
Lunenburg,Stein,79.0
Rockport,Stein,79.0
Orange,Stein,78.0
Tyngsborough,Stein,78.0
Wilmington,Stein,78.0
Hardwick,Johnson,77.0
Hatfield,Johnson,77.0
Lanesborough,Johnson,77.0
Maynard,Stein,77.0
Ware,Stein,77.0
Mount Washington,Clinton,76.0
Raynham,Stein,76.0
Townsend,Stein,76.0
Wrentham,Stein,76.0
Wellfleet,Johnson,73.0
Deerfield,Stein,73.0
Rutland,Stein,73.0
Southwick,Stein,73.0
Wellfleet,Stein,73.0
Oakham,Johnson,72.0
Leicester,Stein,72.0
Huntington,Johnson,71.0
Carver,Stein,71.0
Salisbury,Stein,71.0
Tyringham,Trump,70.0
Tisbury,Johnson,70.0
West Tisbury,Johnson,70.0
Hanover,Stein,70.0
Lenox,Stein,70.0
Stow,Stein,70.0
Williamsburg,Johnson,69.0
Hamilton,Stein,69.0
Chatham,Stein,68.0
Plainville,Stein,68.0
Westminster,Stein,68.0
Hawley,Trump,67.0
Phillipston,Johnson,67.0
Dighton,Stein,67.0
Dudley,Stein,67.0
Ashburnham,Stein,66.0
Freetown,Stein,66.0
Hull,Stein,66.0
Lynnfield,Stein,66.0
Medway,Stein,66.0
East Brookfield,Johnson,65.0
Ayer,Stein,65.0
Orleans,Stein,65.0
Douglas,Stein,64.0
Southampton,Stein,64.0
Sterling,Stein,64.0
Newbury,Stein,63.0
Truro,Johnson,62.0
Colrain,Stein,62.0
Sunderland,Stein,62.0
Eastham,Stein,61.0
Medfield,Stein,61.0
Hatfield,Stein,60.0
Norfolk,Stein,60.0
Sutton,Stein,60.0
Colrain,Johnson,59.0
Blackstone,Stein,59.0
Templeton,Stein,59.0
Barre,Stein,58.0
Halifax,Stein,58.0
Hanson,Stein,58.0
Lancaster,Stein,58.0
Millis,Stein,58.0
Williamsburg,Stein,58.0
Williamstown,Stein,58.0
Gill,Johnson,57.0
Weston,Stein,57.0
Leverett,Stein,56.0
Littleton,Stein,56.0
Merrimac,Stein,56.0
Norwell,Stein,56.0
West Boylston,Stein,56.0
Chester,Johnson,55.0
Erving,Johnson,55.0
Granville,Johnson,55.0
Hinsdale,Johnson,55.0
Whately,Johnson,55.0
Southborough,Stein,55.0
Upton,Stein,55.0
Bolton,Stein,54.0
Buckland,Johnson,53.0
Edgartown,Stein,53.0
Rowley,Stein,53.0
Alford,Trump,52.0
Ashfield,Johnson,52.0
Wales,Johnson,52.0
Groveland,Stein,52.0
Mattapoisett,Stein,52.0
Berkley,Stein,51.0
Shelburne,Stein,51.0
West Bridgewater,Stein,51.0
Russell,Johnson,50.0
Northfield,Stein,50.0
Rochester,Stein,50.0
Georgetown,Stein,49.0
Hopedale,Stein,49.0
Marion,Stein,49.0
West Tisbury,Stein,49.0
Shelburne,Johnson,48.0
Harvard,Stein,48.0
Wendell,Stein,48.0
Conway,Johnson,47.0
Lincoln,Stein,47.0
Shirley,Stein,47.0
Petersham,Johnson,46.0
Westhampton,Johnson,46.0
Worthington,Stein,46.0
Cohasset,Stein,45.0
Sheffield,Stein,45.0
Ashby,Stein,44.0
Ashfield,Stein,44.0
Oak Bluffs,Stein,44.0
Otis,Johnson,43.0
Carlisle,Stein,43.0
Worthington,Johnson,41.0
Charlemont,Johnson,40.0
Avon,Stein,40.0
West Brookfield,Stein,40.0
New Ashford,Trump,39.0
Chesterfield,Johnson,39.0
Buckland,Stein,39.0
Chesterfield,Stein,39.0
Conway,Stein,39.0
Warren,Stein,39.0
Provincetown,Johnson,38.0
Shutesbury,Johnson,38.0
Berlin,Stein,38.0
Paxton,Stein,38.0
Becket,Johnson,37.0
Hampden,Stein,37.0
Hinsdale,Stein,37.0
Gosnold,Clinton,36.0
Windsor,Johnson,36.0
Boxborough,Stein,36.0
Hubbardston,Stein,36.0
North Brookfield,Stein,36.0
Boxford,Stein,35.0
Boylston,Stein,35.0
Huntington,Stein,35.0
New Marlborough,Stein,35.0
Princeton,Stein,35.0
Provincetown,Stein,35.0
Aquinnah,Trump,34.0
New Marlborough,Johnson,34.0
Peru,Johnson,34.0
Brimfield,Stein,34.0
Essex,Stein,34.0
Topsfield,Stein,34.0
Cummington,Stein,33.0
Holland,Stein,33.0
Manchester,Stein,33.0
Middleton,Stein,33.0
Truro,Stein,33.0
Montgomery,Johnson,32.0
Royalston,Johnson,32.0
Gill,Stein,32.0
Lanesborough,Stein,32.0
Cummington,Johnson,31.0
Erving,Stein,31.0
Chilmark,Johnson,30.0
Egremont,Johnson,30.0
Cheshire,Stein,30.0
Egremont,Stein,30.0
Mendon,Stein,30.0
Stockbridge,Stein,30.0
Whately,Stein,30.0
Clarksburg,Johnson,29.0
Stockbridge,Johnson,29.0
Blandford,Johnson,28.0
Goshen,Johnson,28.0
New Salem,Johnson,28.0
Richmond,Johnson,28.0
West Stockbridge,Johnson,28.0
Dover,Stein,28.0
Hardwick,Stein,28.0
Millville,Stein,28.0
Plympton,Stein,28.0
Gosnold,Trump,27.0
Bernardston,Stein,27.0
Brookfield,Stein,27.0
Westhampton,Stein,27.0
Monroe,Trump,26.0
Dunstable,Stein,26.0
Richmond,Stein,26.0
West Newbury,Stein,26.0
Monroe,Clinton,25.0
Pelham,Johnson,25.0
Warwick,Johnson,25.0
Becket,Stein,25.0
Charlemont,Stein,25.0
Hancock,Johnson,24.0
Heath,Johnson,24.0
Leverett,Johnson,24.0
Savoy,Johnson,24.0
Wenham,Stein,24.0
Leyden,Johnson,23.0
Sherborn,Stein,23.0
New Braintree,Johnson,22.0
Sandisfield,Johnson,22.0
Chilmark,Stein,22.0
Nahant,Stein,22.0
New Salem,Stein,22.0
Pelham,Stein,22.0
Wendell,Johnson,21.0
Wales,Stein,21.0
Monterey,Johnson,20.0
Granville,Stein,20.0
Leyden,Stein,20.0
Mount Washington,Trump,19.0
Oakham,Stein,19.0
Petersham,Stein,19.0
Warwick,Stein,19.0
East Brookfield,Stein,18.0
New Braintree,Stein,18.0
Otis,Stein,18.0
Plainfield,Stein,18.0
Florida,Johnson,17.0
Middlefield,Johnson,16.0
Royalston,Stein,16.0
West Stockbridge,Stein,16.0
Goshen,Stein,15.0
Hawley,Johnson,14.0
New Ashford,Johnson,14.0
Plainfield,Johnson,13.0
Tyringham,Johnson,13.0
Chester,Stein,13.0
Phillipston,Stein,13.0
Russell,Stein,13.0
Clarksburg,Stein,12.0
Heath,Stein,12.0
Monterey,Stein,12.0
Montgomery,Stein,12.0
Sandisfield,Stein,12.0
Florida,Stein,11.0
Savoy,Stein,11.0
Windsor,Stein,11.0
Middlefield,Stein,10.0
Washington,Johnson,9.0
Hancock,Stein,9.0
Alford,Johnson,8.0
Tolland,Johnson,8.0
Alford,Stein,8.0
Blandford,Stein,8.0
Peru,Stein,8.0
Tolland,Stein,8.0
Rowe,Johnson,7.0
Aquinnah,Stein,7.0
Hawley,Stein,7.0
Rowe,Stein,7.0
Aquinnah,Johnson,6.0
New Ashford,Stein,6.0
Monroe,Johnson,5.0
Mount Washington,Johnson,5.0
Washington,Stein,5.0
Mount Washington,Stein,4.0
Gosnold,Johnson,2.0
Monroe,Stein,2.0
Gosnold,Stein,0.0
Tyringham,Stein,0.0
